Land,Jahr,Platzierung,Punkte,Genre,Startposition,Sprache,Heimvorteil
Ukraine,2008,2,230.0,Rock,18,Ukrainian,0
France,2008,19,47.0,Rock,19,French,0
Azerbaijan,2008,8,132.0,Ballad,20,Azerbaijani,0
Greece,2008,3,218.0,Rock,21,Greek,0
Spain,2008,16,55.0,Rock,22,Spanish,0
Serbia,2008,6,160.0,Pop,23,Serbian,1
Russia,2008,1,272.0,Rock,24,Russian,0
Norway,2008,5,182.0,Rock,25,Norwegian,0
Lithuania,2009,23,23.0,Ballad,1,Lithuanian,0
Israel,2009,16,53.0,Ballad,2,Hebrew,0
France,2009,8,107.0,Pop,3,French,0
Sweden,2009,21,33.0,Ballad,4,Swedish,0
Croatia,2009,18,45.0,Pop,5,Croatian,0
Portugal,2009,15,57.0,Folk/Ethnic,6,Portuguese,0
Iceland,2009,2,218.0,Ballad,7,Icelandic,0
Greece,2009,7,120.0,Dance-Pop,8,Greek,0
Armenia,2009,10,92.0,Dance-Pop,9,Armenian,0
Russia,2009,11,91.0,Dance-Pop,10,Russian,1
Azerbaijan,2009,3,207.0,Ballad,11,Azerbaijani,0
Bosnia & Herzegovina,2009,9,106.0,Dance-Pop,12,Bosnian,0
Moldova,2009,14,69.0,Dance-Pop,13,Romanian,0
Malta,2009,22,31.0,Rock,14,English,0
Estonia,2009,6,129.0,Pop,15,Estonian,0
Denmark,2009,13,74.0,Ballad,16,Danish,0
Germany,2009,20,35.0,Rock,17,German,0
Turkey,2009,4,177.0,Dance-Pop,18,Turkish,0
Albania,2009,17,48.0,Ballad,19,Albanian,0
Norway,2009,1,387.0,Folk-Pop,20,Norwegian,0
Ukraine,2009,12,76.0,Ballad,21,Ukrainian,0
Romania,2009,19,40.0,Folk/Ethnic,22,Romanian,0
United Kingdom,2009,5,173.0,Ballad,23,English,0
Finland,2009,25,22.0,Ballad,24,Finnish,0
Spain,2009,24,23.0,Dance-Pop,25,Spanish,0
Azerbaijan,2010,5,145.0,Ballad,1,Azerbaijani,0
Spain,2010,15,68.0,Pop,2,Spanish,0
Norway,2010,20,35.0,Ballad,3,Norwegian,1
Moldova,2010,22,27.0,Ballad,4,Romanian,0
Cyprus,2010,21,27.0,Ballad,5,Greek,0
Bosnia & Herzegovina,2010,17,51.0,Ballad,6,Bosnian,0
Belgium,2010,6,143.0,Rock,7,Mixed,0
Serbia,2010,13,72.0,Folk/Ethnic,8,Serbian,0
Belarus,2010,24,18.0,Ballad,9,Belarusian,0
Ireland,2010,23,25.0,Dance-Pop,10,English,0
Greece,2010,8,140.0,Pop,11,Greek,0
United Kingdom,2010,25,10.0,Ballad,12,English,0
Georgia,2010,9,136.0,Ballad,13,Georgian,0
Turkey,2010,2,170.0,Dance-Pop,14,Turkish,0
Albania,2010,16,62.0,Ballad,15,Albanian,0
Iceland,2010,19,41.0,Ballad,16,Icelandic,0
Ukraine,2010,10,108.0,Ballad,17,Ukrainian,0
France,2010,12,82.0,Dance-Pop,18,French,0
Romania,2010,3,162.0,Rock,19,Romanian,0
Russia,2010,11,90.0,Rock,20,Russian,0
Armenia,2010,7,141.0,Rock,21,Armenian,0
Germany,2010,1,246.0,Pop,22,German,0
Portugal,2010,18,43.0,Pop,23,Portuguese,0
Israel,2010,14,71.0,Pop,24,Hebrew,0
Denmark,2010,4,149.0,Ballad,25,Danish,0
Finland,2011,21,57.0,Ballad,1,Finnish,0
Bosnia & Herzegovina,2011,6,125.0,Ballad,2,Bosnian,0
Denmark,2011,5,134.0,Ballad,3,Danish,0
Lithuania,2011,19,63.0,Ballad,4,Lithuanian,0
Hungary,2011,22,53.0,Ballad,5,Hungarian,0
Ireland,2011,8,119.0,Pop,6,English,0
Sweden,2011,3,185.0,Ballad,7,Swedish,0
Estonia,2011,24,44.0,Rock,8,Estonian,0
Greece,2011,7,120.0,Dance-Pop,9,Greek,0
Russia,2011,16,77.0,Ballad,10,Russian,0
France,2011,15,82.0,Pop,11,French,0
Italy,2011,2,189.0,Rap/Hip-Hop,12,Italian,0
Switzerland,2011,25,19.0,Rock,13,Mixed,0
United Kingdom,2011,11,100.0,Pop,14,English,0
Moldova,2011,12,97.0,Rock,15,Romanian,0
Germany,2011,10,107.0,Dance-Pop,16,German,1
Romania,2011,17,77.0,Rock,17,Romanian,0
Austria,2011,18,64.0,Ballad,18,German,0
Azerbaijan,2011,1,221.0,Ballad,19,Azerbaijani,0
Slovenia,2011,13,96.0,Ballad,20,Slovene,0
Iceland,2011,20,61.0,Ballad,21,Icelandic,0
Spain,2011,23,50.0,Pop,22,Spanish,0
Ukraine,2011,4,159.0,Ballad,23,Ukrainian,0
Serbia,2011,14,85.0,Pop,24,Serbian,0
Georgia,2011,9,110.0,Rock,25,Georgian,0
United Kingdom,2012,25,12.0,Ballad,1,English,0
Hungary,2012,24,19.0,Dance-Pop,2,Hungarian,0
Albania,2012,5,146.0,Dance-Pop,3,Albanian,0
Lithuania,2012,14,70.0,Ballad,4,Lithuanian,0
Bosnia & Herzegovina,2012,18,55.0,Pop,5,Bosnian,0
Russia,2012,2,259.0,Dance-Pop,6,Russian,0
Iceland,2012,20,46.0,Ballad,7,Icelandic,0
Cyprus,2012,16,65.0,Dance-Pop,8,Greek,0
France,2012,22,21.0,Dance-Pop,9,French,0
Italy,2012,9,101.0,Dance-Pop,10,Italian,0
Estonia,2012,6,120.0,Pop,11,Estonian,0
Norway,2012,26,7.0,Rock,12,Norwegian,0
Azerbaijan,2012,4,150.0,Dance-Pop,13,Azerbaijani,1
Romania,2012,12,71.0,Ballad,14,Romanian,0
Denmark,2012,23,21.0,Pop,15,Danish,0
Greece,2012,17,64.0,Rock,16,Greek,0
Sweden,2012,1,372.0,Dance-Pop,17,Swedish,0
Turkey,2012,7,112.0,Rock,18,Turkish,0
Spain,2012,10,97.0,Pop,19,Spanish,0
Germany,2012,8,110.0,Ballad,20,German,0
Malta,2012,21,41.0,Ballad,21,English,0
North Macedonia,2012,13,71.0,Pop,22,Macedonian,0
Ireland,2012,19,46.0,Ballad,23,English,0
Serbia,2012,3,214.0,Pop,24,Serbian,0
Ukraine,2012,15,65.0,Dance-Pop,25,Ukrainian,0
Moldova,2012,11,81.0,Rock,26,Romanian,0
France,2013,23,14.0,Pop,1,French,0
Lithuania,2013,22,17.0,Ballad,2,Lithuanian,0
Moldova,2013,11,71.0,Pop,3,Romanian,0
Finland,2013,24,13.0,Ballad,4,Finnish,0
Spain,2013,25,8.0,Pop,5,Spanish,0
Belgium,2013,12,71.0,Rock,6,Mixed,0
Estonia,2013,20,19.0,Pop,7,Estonian,0
Belarus,2013,16,48.0,Rock,8,Belarusian,0
Malta,2013,8,120.0,Ballad,9,English,0
Russia,2013,5,174.0,Ballad,10,Russian,0
Germany,2013,21,18.0,Rock,11,German,0
Armenia,2013,18,41.0,Ballad,12,Armenian,0
Netherlands,2013,9,114.0,Ballad,13,Dutch,0
Romania,2013,13,65.0,Rock,14,Romanian,0
United Kingdom,2013,19,23.0,Ballad,15,English,0
Sweden,2013,14,62.0,Rock,16,Swedish,1
Hungary,2013,10,84.0,Pop,17,Hungarian,0
Denmark,2013,1,281.0,Rock,18,Danish,0
Iceland,2013,17,47.0,Pop,19,Icelandic,0
Azerbaijan,2013,2,234.0,Ballad,20,Azerbaijani,0
Greece,2013,6,152.0,Pop,21,Greek,0
Ukraine,2013,3,214.0,Ballad,22,Ukrainian,0
Italy,2013,7,126.0,Dance-Pop,23,Italian,0
Norway,2013,4,191.0,Rock,24,Norwegian,0
Georgia,2013,15,50.0,Dance-Pop,25,Georgian,0
Ireland,2013,26,5.0,Ballad,26,English,0
Ukraine,2014,6,113.0,Rock,1,Ukrainian,0
Belarus,2014,16,43.0,Dance-Pop,2,Belarusian,0
Azerbaijan,2014,22,33.0,Rock,3,Azerbaijani,0
Iceland,2014,15,58.0,Dance-Pop,4,Icelandic,0
Norway,2014,8,88.0,Rock,5,Norwegian,0
Romania,2014,12,72.0,Ballad,6,Romanian,0
Armenia,2014,4,174.0,Ballad,7,Armenian,0
Montenegro,2014,19,37.0,Pop,8,Montenegrin,0
Poland,2014,14,62.0,Dance-Pop,9,Polish,0
Greece,2014,20,35.0,Dance-Pop,10,Greek,0
Austria,2014,1,290.0,Pop-Ballade,11,German,0
Germany,2014,18,39.0,Rock,12,German,0
Sweden,2014,3,218.0,Rock,13,Swedish,0
France,2014,26,2.0,Pop,14,French,0
Russia,2014,7,89.0,Ballad,15,Russian,0
Italy,2014,21,33.0,Pop,16,Italian,0
Slovenia,2014,25,9.0,Ballad,17,Slovene,0
Finland,2014,11,72.0,Ballad,18,Finnish,0
Spain,2014,10,74.0,Ballad,19,Spanish,0
Switzerland,2014,13,64.0,Rock,20,Mixed,0
Hungary,2014,5,143.0,Ballad,21,Hungarian,0
Malta,2014,23,32.0,Rock,22,English,0
Denmark,2014,9,74.0,Rock,23,Danish,1
Netherlands,2014,2,238.0,Rock,24,Dutch,0
San Marino,2014,24,14.0,Ballad,25,Italian,0
United Kingdom,2014,17,40.0,Rock,26,English,0
Slovenia,2015,14,39.0,Ballad,1,Slovene,0
France,2015,25,4.0,Ballad,2,French,0
Israel,2015,9,97.0,Rock,3,Hebrew,0
Estonia,2015,7,106.0,Ballad,4,Estonian,0
United Kingdom,2015,24,5.0,Rock,5,English,0
Armenia,2015,16,34.0,Ballad,6,Armenian,0
Lithuania,2015,18,30.0,Ballad,7,Lithuanian,0
Serbia,2015,10,53.0,Ballad,8,Serbian,0
Norway,2015,8,102.0,Ballad,9,Norwegian,0
Sweden,2015,1,365.0,Rock,10,Swedish,0
Cyprus,2015,22,11.0,Rock,11,Greek,0
Australia,2015,5,196.0,Pop,12,English,0
Belgium,2015,4,217.0,Dance-Pop,13,Mixed,0
Austria,2015,26,0.0,Ballad,14,German,1
Greece,2015,19,23.0,Ballad,15,Greek,0
Montenegro,2015,13,44.0,Pop,16,Montenegrin,0
Germany,2015,27,0.0,Rock,17,German,0
Poland,2015,23,10.0,Dance-Pop,18,Polish,0
Latvia,2015,6,186.0,Ballad,19,Latvian,0
Romania,2015,15,35.0,Pop,20,Romanian,0
Spain,2015,21,15.0,Pop,21,Spanish,0
Hungary,2015,20,19.0,Ballad,22,Hungarian,0
Georgia,2015,11,51.0,Ballad,23,Georgian,0
Azerbaijan,2015,12,49.0,Rock,24,Azerbaijani,0
Russia,2015,2,303.0,Dance-Pop,25,Russian,0
Albania,2015,17,34.0,Ballad,26,Albanian,0
Italy,2015,3,292.0,Pop,27,Italian,0
Belgium,2016,10,181.0,Ballad,1,Mixed,0
Czech Republic,2016,25,41.0,Ballad,2,Czech,0
Netherlands,2016,11,153.0,Rock,3,Dutch,0
Azerbaijan,2016,17,117.0,Rock,4,Azerbaijani,0
Hungary,2016,19,108.0,Ballad,5,Hungarian,0
Italy,2016,16,124.0,Ballad,6,Italian,0
Israel,2016,14,135.0,Dance-Pop,7,Hebrew,0
Bulgaria,2016,4,307.0,Ballad,8,Unknown,0
Sweden,2016,5,261.0,Rock,9,Swedish,1
Germany,2016,26,11.0,Ballad,10,German,0
France,2016,6,257.0,Ballad,11,French,0
Poland,2016,8,229.0,Rock,12,Polish,0
Australia,2016,2,511.0,Rock,13,English,0
Cyprus,2016,21,96.0,Rap/Hip-Hop,14,Greek,0
Serbia,2016,18,115.0,Ballad,15,Serbian,0
Lithuania,2016,9,200.0,Ballad,16,Lithuanian,0
Croatia,2016,23,73.0,Rock,17,Croatian,0
Russia,2016,3,491.0,Rap/Hip-Hop,18,Russian,0
Spain,2016,22,77.0,Ballad,19,Spanish,0
Latvia,2016,15,132.0,Rock,20,Latvian,0
Ukraine,2016,1,534.0,Ballad,21,Ukrainian,0
Malta,2016,12,153.0,Rock,22,English,0
Georgia,2016,20,104.0,Ballad,23,Georgian,0
Austria,2016,13,151.0,Pop,24,German,0
United Kingdom,2016,24,62.0,Dance-Pop,25,English,0
Armenia,2016,7,249.0,Rock,26,Armenian,0
Israel,2017,23,39.0,Ballad,1,Hebrew,0
Poland,2017,22,64.0,Rock,2,Polish,0
Belarus,2017,17,83.0,Rock,3,Belarusian,0
Austria,2017,16,93.0,Pop,4,German,0
Armenia,2017,18,79.0,Dance-Pop,5,Armenian,0
Netherlands,2017,11,150.0,Ballad,6,Dutch,0
Moldova,2017,3,374.0,Ballad,7,Romanian,0
Hungary,2017,8,200.0,Dance-Pop,8,Hungarian,0
Italy,2017,6,334.0,Pop,9,Italian,0
Denmark,2017,20,77.0,Rock,10,Danish,0
Portugal,2017,1,758.0,Ballad,11,Portuguese,0
Azerbaijan,2017,14,120.0,Rock,12,Azerbaijani,0
Croatia,2017,13,128.0,Ballad,13,Croatian,0
Australia,2017,9,173.0,Rock,14,English,0
Greece,2017,19,77.0,Ballad,15,Greek,0
Spain,2017,26,5.0,Ballad,16,Spanish,0
Norway,2017,10,158.0,Rock,17,Norwegian,0
United Kingdom,2017,15,111.0,Rock,18,English,0
Cyprus,2017,21,68.0,Ballad,19,Greek,0
Romania,2017,7,282.0,Ballad,20,Romanian,0
Germany,2017,25,6.0,Rock,21,German,0
Ukraine,2017,24,36.0,Ballad,22,Ukrainian,1
Belgium,2017,4,363.0,Rock,23,Mixed,0
Sweden,2017,5,344.0,Ballad,24,Swedish,0
Bulgaria,2017,2,615.0,Rock,25,Unknown,0
France,2017,12,135.0,Pop,26,French,0
Ukraine,2018,17,130.0,Rock,1,Ukrainian,0
Spain,2018,23,61.0,Pop,2,Spanish,0
Slovenia,2018,22,64.0,Pop,3,Slovene,0
Lithuania,2018,12,181.0,Ballad,4,Lithuanian,0
Austria,2018,3,342.0,Ballad,5,German,0
Estonia,2018,8,245.0,Pop,6,Estonian,0
Norway,2018,15,144.0,Pop,7,Norwegian,0
Portugal,2018,26,39.0,Pop,8,Portuguese,1
United Kingdom,2018,24,48.0,Rock,9,English,0
Serbia,2018,19,113.0,Folk/Ethnic,10,Serbian,0
Germany,2018,4,340.0,Rock,11,German,0
Albania,2018,11,184.0,Rap/Hip-Hop,12,Albanian,0
France,2018,13,173.0,Pop,13,French,0
Czech Republic,2018,6,281.0,Rock,14,Czech,0
Denmark,2018,9,226.0,Ballad,15,Danish,0
Australia,2018,20,99.0,Rock,16,English,0
Finland,2018,25,46.0,Ballad,17,Finnish,0
Bulgaria,2018,14,166.0,Rock,18,Unknown,0
Moldova,2018,10,209.0,Rock,19,Romanian,0
Sweden,2018,7,274.0,Dance-Pop,20,Swedish,0
Hungary,2018,21,93.0,Rock,21,Hungarian,0
Israel,2018,1,529.0,Pop,22,Hebrew,0
Netherlands,2018,18,121.0,Rock,23,Dutch,0
Ireland,2018,16,136.0,Ballad,24,English,0
Cyprus,2018,2,436.0,Rock,25,Greek,0
Italy,2018,5,308.0,Pop,26,Italian,0
Malta,2019,14,107.0,Rock,1,English,0
Albania,2019,17,90.0,Pop,2,Albanian,0
Czech Republic,2019,11,157.0,Rock,3,Czech,0
Germany,2019,25,24.0,Rock,4,German,0
Russia,2019,3,370.0,Rock,5,Russian,0
Denmark,2019,12,120.0,Ballad,6,Danish,0
San Marino,2019,19,77.0,Ballad,7,Italian,0
North Macedonia,2019,7,305.0,Ballad,8,Macedonian,0
Sweden,2019,5,334.0,Rock,9,Swedish,0
Slovenia,2019,15,105.0,Pop,10,Slovene,0
Cyprus,2019,13,109.0,Dance-Pop,11,Greek,0
Netherlands,2019,1,498.0,Ballad,12,Dutch,0
Greece,2019,21,74.0,Ballad,13,Greek,0
Israel,2019,23,35.0,Dance-Pop,14,Hebrew,1
Norway,2019,6,331.0,Pop,15,Norwegian,0
United Kingdom,2019,26,11.0,Ballad,16,English,0
Iceland,2019,10,232.0,Pop,17,Icelandic,0
Estonia,2019,20,76.0,Rock,18,Estonian,0
Belarus,2019,24,31.0,Rock,19,Belarusian,0
Azerbaijan,2019,8,302.0,Rock,20,Azerbaijani,0
France,2019,16,105.0,Pop,21,French,0
Italy,2019,2,472.0,Pop,22,Italian,0
Serbia,2019,18,89.0,Pop,23,Serbian,0
Switzerland,2019,4,364.0,Rock,24,Mixed,0
Australia,2019,9,284.0,Pop,25,English,0
Spain,2019,22,54.0,Pop,26,Spanish,0
Cyprus,2021,16,94.0,Rock,1,Greek,0
Albania,2021,21,57.0,Pop,2,Albanian,0
Israel,2021,17,93.0,Rock,3,Hebrew,0
Belgium,2021,19,74.0,Pop,4,Mixed,0
Russia,2021,9,204.0,Pop,5,Russian,0
Malta,2021,7,255.0,Pop,6,English,0
Portugal,2021,12,153.0,Ballad,7,Portuguese,0
Serbia,2021,15,102.0,Pop,8,Serbian,0
United Kingdom,2021,26,0.0,Rock,9,English,0
Greece,2021,10,170.0,Rock,10,Greek,0
Switzerland,2021,3,432.0,Ballad,11,Mixed,0
Iceland,2021,4,378.0,Ballad,12,Icelandic,0
Spain,2021,24,6.0,Pop,13,Spanish,0
Moldova,2021,13,115.0,Rock,14,Romanian,0
Germany,2021,25,3.0,Pop,15,German,0
Finland,2021,6,301.0,Rock,16,Finnish,0
Bulgaria,2021,11,170.0,Ballad,17,Unknown,0
Lithuania,2021,8,220.0,Dance-Pop,18,Lithuanian,0
Ukraine,2021,5,364.0,Electro-Folk,19,Ukrainian,0
France,2021,2,499.0,Pop,20,French,0
Azerbaijan,2021,20,65.0,Pop,21,Azerbaijani,0
Norway,2021,18,75.0,Ballad,22,Norwegian,0
Netherlands,2021,23,11.0,Rock,23,Dutch,1
Italy,2021,1,524.0,Rock,24,Italian,0
Sweden,2021,14,109.0,Rock,25,Swedish,0
San Marino,2021,22,50.0,Rock,26,Italian,0
Czechia,2022,22,38.0,Ballad,1,Czech,0
Romania,2022,18,65.0,Rock,2,Romanian,0
Portugal,2022,9,207.0,Folk/Ethnic,3,Portuguese,0
Finland,2022,21,38.0,Ballad,4,Finnish,0
Switzerland,2022,17,78.0,Ballad,5,Mixed,0
France,2022,24,17.0,Pop,6,French,0
Norway,2022,10,182.0,Pop,7,Norwegian,0
Armenia,2022,20,61.0,Rock,8,Armenian,0
Italy,2022,6,268.0,Ballad,9,Italian,1
Spain,2022,3,459.0,Dance-Pop,10,Spanish,0
Netherlands,2022,11,171.0,Pop,11,Dutch,0
Ukraine,2022,1,631.0,Folk/Rap,12,Ukrainian,0
Germany,2022,25,6.0,Rock,13,German,0
Lithuania,2022,14,128.0,Pop,14,Lithuanian,0
Azerbaijan,2022,16,106.0,Pop,15,Azerbaijani,0
Belgium,2022,19,64.0,Ballad,16,Mixed,0
Greece,2022,8,215.0,Ballad,17,Greek,0
Iceland,2022,23,20.0,Pop,18,Icelandic,0
Moldova,2022,7,253.0,Rock,19,Romanian,0
Sweden,2022,4,438.0,Pop,20,Swedish,0
Australia,2022,15,125.0,Pop,21,English,0
United Kingdom,2022,2,466.0,Ballad,22,English,0
Poland,2022,12,151.0,Ballad,23,Polish,0
Serbia,2022,5,312.0,Art-Pop,24,Serbian,0
Estonia,2022,13,141.0,Ballad,25,Estonian,0
Austria,2023,15,120.0,Dance-Pop,1,German,0
Portugal,2023,23,59.0,Pop,2,Portuguese,0
Switzerland,2023,20,92.0,Ballad,3,Mixed,0
Poland,2023,19,93.0,Pop,4,Polish,0
Serbia,2023,24,30.0,Rock,5,Serbian,0
France,2023,16,104.0,Pop,6,French,0
Cyprus,2023,12,126.0,Ballad,7,Greek,0
Spain,2023,17,100.0,Pop,8,Spanish,0
Sweden,2023,1,583.0,Pop,9,Swedish,0
Albania,2023,22,76.0,Pop,10,Albanian,0
Italy,2023,4,350.0,Rock,11,Italian,0
Estonia,2023,8,168.0,Ballad,12,Estonian,0
Finland,2023,2,526.0,Dance/Rap,13,Finnish,0
Czechia,2023,10,129.0,Ballad,14,Czech,0
Australia,2023,9,151.0,Ballad,15,English,0
Belgium,2023,7,182.0,Rock,16,Mixed,0
Armenia,2023,14,122.0,Rock,17,Armenian,0
Moldova,2023,18,96.0,Pop,18,Romanian,0
Ukraine,2023,6,243.0,Ballad,19,Ukrainian,0
Norway,2023,5,268.0,Dance-Pop,20,Norwegian,0
Germany,2023,26,18.0,Ballad,21,German,0
Lithuania,2023,11,127.0,Rock,22,Lithuanian,0
Israel,2023,3,362.0,Dance-Pop,23,Hebrew,0
Slovenia,2023,21,78.0,Rock,24,Slovene,0
Croatia,2023,13,123.0,Rock/Performance,25,Croatian,0
United Kingdom,2023,25,24.0,Dance-Pop,26,English,1
Sweden,2024,9,174.0,Pop,1,English,1
Ukraine,2024,3,453.0,Rap/Hip-Hop,2,Mixed,0
Germany,2024,12,117.0,Pop,3,English,0
Luxembourg,2024,13,103.0,Dance-Pop,4,Mixed,0
Israel,2024,5,375.0,Ballad,6,English,0
Lithuania,2024,14,90.0,Pop,7,Lithuanian,0
Spain,2024,22,30.0,Dance-Pop,8,Spanish,0
Estonia,2024,20,37.0,Folk/Ethnic,9,Estonian,0
Ireland,2024,6,278.0,Rock,10,English,0
Latvia,2024,16,64.0,Ballad,11,English,0
Greece,2024,11,126.0,Folk/Ethnic,12,Greek,0
United Kingdom,2024,18,46.0,Dance-Pop,13,English,0
Norway,2024,25,16.0,Folk/Ethnic,14,Norwegian,0
Italy,2024,7,268.0,Pop,15,Italian,0
Serbia,2024,17,54.0,Ballad,16,Serbian,0
Finland,2024,19,38.0,Dance-Pop,17,English,0
Portugal,2024,10,152.0,Ballad,18,Portuguese,0
Armenia,2024,8,183.0,Folk/Ethnic,19,Armenian,0
Cyprus,2024,15,78.0,Dance-Pop,20,English,0
Switzerland,2024,1,591.0,Pop,21,English,0
Slovenia,2024,23,27.0,Pop,22,Slovene,0
Croatia,2024,2,547.0,Rock,23,Mixed,0
Georgia,2024,21,34.0,Dance-Pop,24,English,0
France,2024,4,445.0,Ballad,25,French,0
Austria,2024,24,24.0,Dance-Pop,26,English,0
Norway,2025,18,89.0,Pop,1,English,0
Luxembourg,2025,22,47.0,Pop,2,French,0
Estonia,2025,3,356.0,Dance-Pop,3,Mixed,0
Israel,2025,2,357.0,Ballad,4,English,0
Lithuania,2025,16,96.0,Rock,5,Lithuanian,0
Spain,2025,24,37.0,Dance-Pop,6,Spanish,0
Ukraine,2025,9,218.0,Rock,7,Mixed,0
United Kingdom,2025,19,88.0,Pop,8,English,0
Austria,2025,1,436.0,Ballad,9,English,0
Iceland,2025,25,33.0,Dance-Pop,10,Icelandic,0
Latvia,2025,13,158.0,Folk/Ethnic,11,Latvian,0
Netherlands,2025,12,175.0,Pop,12,Mixed,0
Finland,2025,11,196.0,Dance-Pop,13,Mixed,0
Italy,2025,5,256.0,Pop,14,Italian,0
Poland,2025,14,156.0,Pop,15,Polish,0
Germany,2025,15,151.0,Dance-Pop,16,German,0
Greece,2025,6,231.0,Ballad,17,Greek,0
Armenia,2025,20,72.0,Pop,18,English,0
Switzerland,2025,10,214.0,Ballad,19,French,1
Malta,2025,17,91.0,Dance-Pop,20,English,0
Portugal,2025,21,50.0,Pop,21,Portuguese,0
Denmark,2025,23,47.0,Dance-Pop,22,English,0
Sweden,2025,4,321.0,Pop,23,Swedish,0
France,2025,7,230.0,Ballad,24,French,0
San Marino,2025,26,27.0,Dance-Pop,25,Italian,0
Albania,2025,8,218.0,Folk/Ethnic,26,Albanian,0
Denmark,2026,7,243.0,Pop,1,Danish,0
Germany,2026,23,12.0,Pop,2,English,0
Israel,2026,2,343.0,Pop,3,English,0
Belgium,2026,21,36.0,Dance-Pop,4,English,0
Albania,2026,13,145.0,Folk/Ethnic,5,Albanian,0
Greece,2026,10,220.0,Pop,6,Greek,0
Ukraine,2026,9,221.0,Folk/Ethnic,7,Ukrainian,0
Australia,2026,4,287.0,Pop,8,English,0
Serbia,2026,17,90.0,Pop,9,Serbian,0
Malta,2026,18,89.0,Pop,10,English,0
Czechia,2026,16,113.0,Pop,11,English,0
Bulgaria,2026,1,516.0,Dance-Pop,12,Mixed,0
Croatia,2026,15,124.0,Rock,13,English,0
United Kingdom,2026,25,1.0,Dance-Pop,14,Mixed,0
France,2026,11,158.0,Pop,15,French,0
Moldova,2026,8,226.0,Folk/Ethnic,16,Romanian,0
Finland,2026,6,279.0,Dance-Pop,17,Finnish,0
Poland,2026,12,150.0,Ballad,18,English,0
Lithuania,2026,22,22.0,Dance-Pop,19,Spanish,0
Sweden,2026,20,51.0,Pop,20,English,0
Cyprus,2026,19,75.0,Dance-Pop,21,Mixed,0
Italy,2026,5,281.0,Pop,22,Italian,0
Norway,2026,14,134.0,Dance-Pop,23,English,0
Romania,2026,3,296.0,Pop,24,English,0
Austria,2026,24,6.0,Dance-Pop,25,German,1
